student_index,kmeans_cluster,agglomerative_cluster,Performance
0,1,1,Low
1,0,0,Low
2,0,0,Medium
3,1,1,High
4,1,1,Medium
5,1,1,High
6,0,0,Medium
7,1,1,Low
8,1,0,High
9,1,1,High
10,1,1,Low
11,0,1,Medium
12,1,1,Medium
13,1,1,Medium
14,0,0,High
15,1,1,Medium
16,1,1,Medium
17,1,1,Medium
18,0,0,Low
19,1,1,Medium
20,1,1,High
21,1,1,High
22,1,1,High
23,0,0,Medium
24,1,1,Low
25,0,0,Low
26,0,0,Medium
27,1,1,High
28,1,1,Medium
29,1,1,Medium
30,1,1,Medium
31,1,1,High
32,1,1,High
33,1,1,Medium
34,0,1,High
35,1,1,Low
36,1,1,High
37,1,1,High
38,1,1,Medium
39,0,0,Medium
40,0,0,Medium
41,1,1,Medium
42,1,1,High
43,0,0,Medium
44,0,0,Low
45,1,1,Low
46,1,1,Medium
47,1,1,High
48,1,1,Medium
49,1,1,Low
50,0,0,Medium
51,1,1,Medium
52,1,1,Medium
53,1,1,Medium
54,1,1,Medium
55,0,0,Medium
56,1,1,High
57,1,1,High
58,0,0,Low
59,1,1,High
60,1,1,Medium
61,0,0,Medium
62,0,0,Low
63,1,1,Low
64,1,1,Medium
65,1,1,High
66,1,1,Medium
67,0,1,Low
68,0,0,Low
69,0,1,High
70,0,1,High
71,1,1,Medium
72,0,0,Low
73,0,1,Medium
74,1,1,Medium
75,1,1,Medium
76,0,1,Medium
77,0,1,Medium
78,0,0,Medium
79,1,1,Low
80,1,0,Medium
81,1,1,Medium
82,1,0,Low
83,0,0,High
84,0,0,Medium
85,1,0,Low
86,0,0,Low
87,1,1,Medium
88,0,0,Medium
89,1,1,Low
90,1,1,Low
91,1,1,High
92,0,0,Low
93,1,1,Medium
94,0,1,Medium
95,0,0,Medium
96,1,1,High
97,0,0,Medium
98,1,1,Medium
99,1,1,Low
100,1,1,Low
101,1,1,High
102,1,1,Medium
103,1,1,Low
104,1,1,High
105,1,1,Medium
106,0,1,Low
107,1,1,High
108,1,1,Medium
109,1,1,High
110,1,1,High
111,1,1,Medium
112,0,0,Medium
113,1,0,High
114,0,0,Low
115,1,1,High
116,1,1,Medium
117,1,1,Medium
118,0,1,Low
119,1,1,Medium
120,0,0,High
121,0,1,High
122,1,1,Medium
123,1,1,Medium
124,0,0,Low
125,1,1,Medium
126,1,1,Medium
127,0,0,Low
128,0,0,Low
129,1,1,High
130,1,0,Low
131,0,0,Low
132,0,0,Medium
133,1,1,Medium
134,1,1,Low
135,1,1,Low
136,1,1,Low
137,0,0,Low
138,0,0,Medium
139,1,1,High
140,1,1,Low
141,0,0,Low
142,1,1,Medium
143,0,0,Medium
144,0,0,Low
145,0,0,Medium
146,0,0,Low
147,0,0,Medium
148,1,1,Low
149,0,0,Medium
150,0,0,Low
151,0,0,Medium
152,1,0,Medium
